"date","female_employment","imputed"
1986-05-01,48438,FALSE
1986-06-01,48780,FALSE
1986-07-01,48959,FALSE
1986-08-01,49082,FALSE
1986-09-01,49085,FALSE
1986-10-01,49245,FALSE
1986-11-01,49195,FALSE
1986-12-01,49296,FALSE
1987-01-01,49362,FALSE
1987-02-01,49593,FALSE
1987-03-01,49749,FALSE
1987-04-01,49985,FALSE
1987-05-01,50389,FALSE
1987-06-01,50315,FALSE
1987-07-01,50536,FALSE
1987-08-01,50745,FALSE
1987-09-01,50518,FALSE
1987-10-01,50781,FALSE
1987-11-01,50909,FALSE
1987-12-01,51108,FALSE
1988-01-01,51181,FALSE
1988-02-01,51249,FALSE
1988-03-01,51313,FALSE
1988-04-01,51372,FALSE
1988-05-01,51161,FALSE
1988-06-01,51562,FALSE
1988-07-01,51613,FALSE
1988-08-01,51802,FALSE
1988-09-01,51861,FALSE
1988-10-01,52191,FALSE
1988-11-01,52542,FALSE
1988-12-01,52584,FALSE
1989-01-01,52889,FALSE
1989-02-01,52775,FALSE
1989-03-01,52753,FALSE
1989-04-01,52867,FALSE
1989-05-01,52873,FALSE
1989-06-01,52810,FALSE
1989-07-01,52923,FALSE
1989-08-01,53128,FALSE
1989-09-01,53292,FALSE
1989-10-01,53148,FALSE
1989-11-01,53535,FALSE
1989-12-01,53331,FALSE
1990-01-01,53755,FALSE
1990-02-01,53688,FALSE
1990-03-01,53787,FALSE
1990-04-01,53696,FALSE
1990-05-01,53840,FALSE
1990-06-01,53730,FALSE
1990-07-01,53681,FALSE
1990-08-01,53743,FALSE
1990-09-01,53676,FALSE
1990-10-01,53644,FALSE
1990-11-01,53523,FALSE
1990-12-01,53495,FALSE
1991-01-01,53387,FALSE
1991-02-01,53472,FALSE
1991-03-01,53371,FALSE
1991-04-01,53757,FALSE
1991-05-01,53324,FALSE
1991-06-01,53445,FALSE
1991-07-01,53388,FALSE
1991-08-01,53354,FALSE
1991-09-01,53654,FALSE
1991-10-01,53634,FALSE
1991-11-01,53615,FALSE
1991-12-01,53519,FALSE
1992-01-01,53881,FALSE
1992-02-01,53812,FALSE
1992-03-01,53932,FALSE
1992-04-01,54038,FALSE
1992-05-01,53960,FALSE
1992-06-01,53992,FALSE
1992-07-01,54141,FALSE
1992-08-01,54192,FALSE
1992-09-01,54077,FALSE
1992-10-01,54076,FALSE
1992-11-01,54242,FALSE
1992-12-01,54258,FALSE
1993-01-01,54234,FALSE
1993-02-01,54326,FALSE
1993-03-01,54524,FALSE
1993-04-01,54480,FALSE
1993-05-01,54802,FALSE
1993-06-01,54900,FALSE
1993-07-01,54954,FALSE
1993-08-01,55148,FALSE
1993-09-01,55116,FALSE
1993-10-01,55245,FALSE
1993-11-01,55433,FALSE
1993-12-01,55713,FALSE
1994-01-01,56044,FALSE
1994-02-01,56244,FALSE
1994-03-01,56062,FALSE
1994-04-01,56322,FALSE
1994-05-01,56657,FALSE
1994-06-01,56434,FALSE
1994-07-01,56537,FALSE
1994-08-01,56770,FALSE
1994-09-01,56906,FALSE
1994-10-01,57047,FALSE
1994-11-01,57200,FALSE
1994-12-01,57136,FALSE
1995-01-01,57204,FALSE
1995-02-01,57310,FALSE
1995-03-01,57305,FALSE
1995-04-01,57473,FALSE
1995-05-01,57389,FALSE
1995-06-01,57196,FALSE
1995-07-01,57533,FALSE
1995-08-01,57622,FALSE
1995-09-01,57625,FALSE
1995-10-01,57868,FALSE
1995-11-01,57973,FALSE
1995-12-01,57772,FALSE
1996-01-01,57678,FALSE
1996-02-01,57934,FALSE
1996-03-01,58094,FALSE
1996-04-01,58168,FALSE
1996-05-01,58201,FALSE
1996-06-01,58337,FALSE
1996-07-01,58564,FALSE
1996-08-01,58687,FALSE
1996-09-01,58990,FALSE
1996-10-01,59078,FALSE
1996-11-01,59216,FALSE
1996-12-01,59111,FALSE
1997-01-01,59270,FALSE
1997-02-01,59153,FALSE
1997-03-01,59549,FALSE
1997-04-01,59684,FALSE
1997-05-01,59672,FALSE
1997-06-01,59802,FALSE
1997-07-01,60063,FALSE
1997-08-01,60116,FALSE
1997-09-01,60162,FALSE
1997-10-01,60212,FALSE
1997-11-01,60326,FALSE
1997-12-01,60541,FALSE
1998-01-01,60455,FALSE
1998-02-01,60486,FALSE
1998-03-01,60579,FALSE
1998-04-01,60532,FALSE
1998-05-01,60658,FALSE
1998-06-01,60610,FALSE
1998-07-01,60663,FALSE
1998-08-01,60816,FALSE
1998-09-01,61130,FALSE
1998-10-01,61005,FALSE
1998-11-01,61052,FALSE
1998-12-01,61389,FALSE
1999-01-01,61737,FALSE
1999-02-01,61679,FALSE
1999-03-01,61673,FALSE
1999-04-01,61781,FALSE
1999-05-01,61969,FALSE
1999-06-01,62016,FALSE
1999-07-01,61987,FALSE
1999-08-01,62158,FALSE
1999-09-01,62145,FALSE
1999-10-01,62393,FALSE
1999-11-01,62528,FALSE
1999-12-01,62571,FALSE
2000-01-01,63402,FALSE
2000-02-01,63356,FALSE
2000-03-01,63425,FALSE
2000-04-01,63955,FALSE
2000-05-01,63473,FALSE
2000-06-01,63598,FALSE
2000-07-01,63443,FALSE
2000-08-01,63228,FALSE
2000-09-01,63604,FALSE
2000-10-01,63745,FALSE
2000-11-01,63824,FALSE
2000-12-01,64050,FALSE
2001-01-01,64084,FALSE
2001-02-01,64078,FALSE
2001-03-01,64286,FALSE
2001-04-01,63842,FALSE
2001-05-01,63829,FALSE
2001-06-01,63741,FALSE
2001-07-01,63797,FALSE
2001-08-01,63412,FALSE
2001-09-01,63511,FALSE
2001-10-01,63479,FALSE
2001-11-01,63536,FALSE
2001-12-01,63289,FALSE
2002-01-01,63196,FALSE
2002-02-01,63661,FALSE
2002-03-01,63474,FALSE
2002-04-01,63359,FALSE
2002-05-01,63333,FALSE
2002-06-01,63489,FALSE
2002-07-01,63449,FALSE
2002-08-01,63710,FALSE
2002-09-01,63887,FALSE
2002-10-01,63836,FALSE
2002-11-01,63785,FALSE
2002-12-01,63762,FALSE
2003-01-01,64491,FALSE
2003-02-01,64240,FALSE
2003-03-01,64398,FALSE
2003-04-01,64457,FALSE
2003-05-01,64431,FALSE
2003-06-01,64692,FALSE
2003-07-01,64413,FALSE
2003-08-01,64398,FALSE
2003-09-01,64072,FALSE
2003-10-01,64387,FALSE
2003-11-01,64549,FALSE
2003-12-01,64262,FALSE
2004-01-01,64139,FALSE
2004-02-01,64460,FALSE
2004-03-01,64461,FALSE
2004-04-01,64617,FALSE
2004-05-01,64770,FALSE
2004-06-01,64710,FALSE
2004-07-01,64793,FALSE
2004-08-01,64790,FALSE
2004-09-01,64805,FALSE
2004-10-01,64891,FALSE
2004-11-01,65046,FALSE
2004-12-01,65163,FALSE
2005-01-01,65274,FALSE
2005-02-01,65228,FALSE
2005-03-01,65266,FALSE
2005-04-01,65489,FALSE
2005-05-01,65603,FALSE
